project_name,description,department,county,sub_county,ward,location_address,location_coordinates,project_year,start_date,expected_completion_date,contractor_name,contractor_contact,step_name,step_description
Sakwa Agricultural Stores,Construction of grain and input storage facilities.,Trade and Commerce,Migori,Uriri,Central Sakwa,"West Sakwa Ward, Kuria West","-0.950614,34.447275",2025,3/22/2024,9/15/2025,Unity Construction Ltd,712255056,Inspection,Monitoring and quality check
Kanyamkago Access Roads,Grading and graveling of rural access roads.,Health Services,Migori,Kuria West,North Kadem,"Central Ward, Uriri","-0.950614,34.447275",2024,6/5/2024,9/26/2025,ABC Construction Ltd,753974896,Commissioning,Initial planning and blueprint development
Nyatike Fishing Jetty,Construction of a modern fishing jetty to support local fishers.,Health Services,Migori,Nyatike,North Kadem,"West Kanyamkago, Nyatike","-0.860817,34.211262",2024,9/5/2024,6/20/2025,Unity Construction Ltd,766037526,Construction,Execution of physical works
Nyamaraga Drainage Works,Installation of drainage culverts and trench lining.,Health Services,Migori,Rongo,South Sakwa Ward,"Ntimaru Ward, Suna West","-0.847086,34.544971",2024,8/24/2024,6/7/2025,ABC Construction Ltd,790318794,Site Preparation,Monitoring and quality check
Isibania Bus Park,Establishment of a designated bus park and passenger shelters.,Water and Sanitation,Migori,Kuria West,Isibania Ward,"Kisii Central Ward, Uriri","-0.970066,34.496477",2025,11/22/2024,5/9/2025,ABC Construction Ltd,753290632,Commissioning,Monitoring and quality check
Kuria West Street Lighting,Installation of solar-powered street lights in key trading centers.,Education,Migori,Migori Central,Isibania Ward,"Kisii Central Ward, Suna West","-0.950614,34.447275",2023,9/21/2024,4/18/2025,XYZ Construction Ltd,746505405,Inspection,Execution of physical works
Oyani Bridge Construction,Construction of a reinforced concrete bridge over River Oyani.,Environment,Migori,Migori Central,South Sakwa Ward,"North Kadem, Kuria East","-1.018725,34.448841",2023,12/21/2024,12/27/2025,Unity Construction Ltd,764861839,Planning & Design,Execution of physical works
Rongo-Kanga Road Rehabilitation,Rehabilitation of the 12 km Rongo-Kanga stretch with bitumen surface.,Agriculture,Migori,Awendo,East Kamagambo,"North Sakwa Ward, Suna East","-1.018725,34.448841",2025,9/9/2024,6/8/2025,XYZ Construction Ltd,777425545,Site Preparation,Monitoring and quality check
Kanyasa Irrigation Scheme,Development of irrigation infrastructure for small-scale farmers in Nyatike Sub-county.,Education,Migori,Uriri,Kisii Central Ward,"Karungu Ward, Uriri","-1.1234,34.1234",2024,12/14/2024,10/11/2025,ABC Construction Ltd,726481700,Planning & Design,Bidding and contract award
Uriri Water Supply Project,Installation of boreholes and distribution pipelines to rural households.,Health Services,Migori,Suna West,North Sakwa Ward,"Central Sakwa, Migori","-1.1234,34.1234",2024,7/22/2024,12/15/2025,Unity Construction Ltd,745056899,Inspection,Execution of physical works
Wiga Footbridge,Installation of a steel footbridge for school children.,Health Services,Migori,Suna West,Karungu Ward,"Kisii Central Ward, Awendo","-1.018725,34.448841",2026,6/10/2024,7/14/2025,ABC Construction Ltd,766640466,Inspection,Handover to stakeholders
Nyabisawa Dispensary Upgrade,Expansion of facilities and addition of a maternity wing.,Environment,Migori,Migori Central,East Kamagambo,"East Kamagambo, Migori Central","-0.970066,34.496477",2024,7/26/2024,5/25/2025,Unity Construction Ltd,721919769,Procurement,Bidding and contract award
Rongo Livestock Market,Construction of a livestock market with holding pens and water troughs.,Environment,Migori,Awendo,North Sakwa Ward,"North Sakwa Ward, Migori","-0.847086,34.544971",2025,7/11/2024,11/2/2025,XYZ Construction Ltd,782029631,Procurement,Handover to stakeholders
Central Sakwa Sanitation Project,Construction of public sanitation blocks and waste collection points.,Water and Sanitation,Migori,Suna East,Central Sakwa,"South Sakwa Ward, Rongo","-1.0634,34.4731",2023,8/12/2024,12/31/2025,ABC Construction Ltd,723308090,Commissioning,Bidding and contract award
Migori Town Drainage System,Construction of stormwater drainage to reduce flooding in Migori Town.,Environment,Migori,Kuria East,Kakrao Ward,"East Kanyamkago Ward, Migori Central","-1.018725,34.448841",2024,1/12/2024,12/27/2025,Unity Construction Ltd,786958979,Inspection,Bidding and contract award
God Jope Community Hall,Construction of a community resource and event center.,Water and Sanitation,Migori,Rongo,West Kanyamkago,"Kisii Central Ward, Nyatike","-0.970066,34.496477",2026,5/4/2024,10/5/2025,ABC Construction Ltd,767063162,Planning & Design,Initial planning and blueprint development
Kakrao Primary School Classrooms,Building of 6 modern classrooms and toilet blocks.,Environment,Migori,Migori,God Jope Ward,"Central Sakwa, Kuria East","-0.847086,34.544971",2024,3/27/2024,7/24/2025,Unity Construction Ltd,752105523,Inspection,Bidding and contract award
Suna East Market Stalls,Construction of modern stalls and drainage system at the Suna East market.,Trade and Commerce,Migori,Nyatike,Karungu Ward,"North Kadem, Kuria West","-0.860817,34.211262",2025,4/5/2024,11/20/2025,ABC Construction Ltd,719654918,Commissioning,Bidding and contract award
Awendo Sub-county Hospital Upgrade,Expansion and modernization of facilities including maternity and emergency wards.,Health Services,Migori,Kuria East,Central Ward,"God Jope Ward, Uriri","-0.951454,34.443863",2023,9/21/2024,8/3/2025,Unity Construction Ltd,731920091,Commissioning,Monitoring and quality check
Migori Fire Station,Construction of a modern fire station to serve Migori County.,Trade and Commerce,Migori,Rongo,North Kadem,"East Kanyamkago Ward, Suna East","-0.951454,34.443863",2023,8/22/2024,8/18/2025,Unity Construction Ltd,743714974,Site Preparation,Handover to stakeholders
Kamagambo ICT Training Center Lela,Establishment of an ICT center to provide digital skills to youth.,Education,Migori,Kuria East,North Kadem,"East Kanyamkago Ward, Suna West","-0.951454,34.443863",2023,12/7/2024,8/10/2025,Unity Construction Ltd,732469484,Commissioning,Clearing and leveling the project site
